exp_name,model,dataset,lr,lr_backbone,layers,tf_layers,d_model,seed,amp_dtype,best_ppl,nan_recoveries,time_min,n_params_M,results_path
wt_causal_twopass_s2,pcn,wikitext,0.0003,,12,,256,2,,215.47,,36.0,21.0,results/wt_causal_twopass_s2/results.json
wt_causal_twopass_s3,pcn,wikitext,0.0003,,12,,256,3,,215.17,,36.0,21.0,results/wt_causal_twopass_s3/results.json
wt_causal_twopass_s4,pcn,wikitext,0.0003,,12,,256,4,,216.14,,36.0,21.0,results/wt_causal_twopass_s4/results.json
wt_ng_lr1e3_s0,pcn,wikitext,0.001,,12,,256,0,,321.49,,5.1,21.0,results/wt_ng_lr1e3_s0/results.json
wt_ng_lr5e4_s0,pcn,wikitext,0.0005,,12,,256,0,,147.78,,5.3,21.0,results/wt_ng_lr5e4_s0/results.json
wt_sparse_0.25_s0,pcn,wikitext,0.0005,,12,,256,0,,146.96,,5.5,21.0,results/wt_sparse_0.25_s0/results.json
wt_tf_lr1e3_s1,transformer,wikitext,0.001,,12,,256,1,,215.63,,5.3,22.4,results/wt_tf_lr1e3_s1/results.json
wt_tf_lr1e3_s2,transformer,wikitext,0.001,,12,,256,2,,218.6,,4.7,22.4,results/wt_tf_lr1e3_s2/results.json
wt_tf_lr1e3_s3,transformer,wikitext,0.001,,12,,256,3,,203.93,,4.6,22.4,results/wt_tf_lr1e3_s3/results.json
wt_tf_lr1e3_s4,transformer,wikitext,0.001,,12,,256,4,,219.74,,4.6,22.4,results/wt_tf_lr1e3_s4/results.json
wt_096m_hyb_h2e-4_s1,hybrid,wikitext,0.0002,0.0005,24,12,512,1,fp16,77.03,0,28.1,96.0,results/wt_096m_hyb_h2e-4_s1/results.json
wt_096m_hyb_h2e-4_s2,hybrid,wikitext,0.0002,0.0005,24,12,512,2,fp16,75.04,0,26.7,96.0,results/wt_096m_hyb_h2e-4_s2/results.json
wt_097m_hyb16_8_h2e-4_s0,hybrid,wikitext,0.0002,0.0005,24,16,512,0,fp16,59.86,0,28.1,97.8,results/wt_097m_hyb16_8_h2e-4_s0/results.json
wt_330m_hyb_lr5e-4_s0,hybrid,wikitext,0.0001,0.0005,24,12,1024,0,fp16,36.5,0,100.6,330.4,results/wt_330m_hyb_lr5e-4_s0/results.json
wt_353m_tf_lr5e-4_s0,transformer,wikitext,0.0005,,24,12,1024,0,fp16,41.72,0,123.2,354.0,results/wt_353m_tf_lr5e-4_s0/results.json
wt_353m_tf_lr2.5e-4_s0,transformer,wikitext,0.00025,,24,12,1024,0,fp16,63.52,0,123.1,354.0,results/wt_353m_tf_lr2.5e-4_s0/results.json
wt_306m_pcn_lr1e-4_s0,pcn,wikitext,0.0001,,24,12,1024,0,fp16,147.77,0,111.0,306.8,results/wt_306m_pcn_lr1e-4_s0/results.json
wt_097m_hyb16_8_h2e-4_s1,hybrid,wikitext,0.0002,0.0005,24,16,512,1,fp16,60.18,0,26.9,97.8,results/wt_097m_hyb16_8_h2e-4_s1/results.json
wt_097m_hyb16_8_h2e-4_s2,hybrid,wikitext,0.0002,0.0005,24,16,512,2,fp16,58.55,0,26.7,97.8,results/wt_097m_hyb16_8_h2e-4_s2/results.json
wt_330m_hyb_ng_lr5e-4_s0,hybrid,wikitext,0.0001,0.0005,24,12,1024,0,fp16,39.5,0,117.3,330.4,results/wt_330m_hyb_ng_lr5e-4_s0/results.json
wt_330m_hyb_ng_lr5e-4_s1,hybrid,wikitext,0.0001,0.0005,24,12,1024,1,fp16,39.6,0,116.9,330.4,results/wt_330m_hyb_ng_lr5e-4_s1/results.json
wt_330m_hyb_ng_lr5e-4_s2,hybrid,wikitext,0.0001,0.0005,24,12,1024,2,fp16,40.14,0,117.5,330.4,results/wt_330m_hyb_ng_lr5e-4_s2/results.json
wt_330m_hyb_ng_lr2.5e-4_s0,hybrid,wikitext,0.0001,0.00025,24,12,1024,0,fp16,45.26,0,117.1,330.4,results/wt_330m_hyb_ng_lr2.5e-4_s0/results.json
wt_330m_hyb_ng_lr1e-3_s0,hybrid,wikitext,0.0001,0.001,24,12,1024,0,fp16,37.05,0,117.1,330.4,results/wt_330m_hyb_ng_lr1e-3_s0/results.json
wt_353m_tf_lr5e-4_s1,transformer,wikitext,0.0005,,24,12,1024,1,fp16,42.37,0,123.2,354.0,results/wt_353m_tf_lr5e-4_s1/results.json
wt_353m_tf_lr5e-4_s2,transformer,wikitext,0.0005,,24,12,1024,2,fp16,62.24,0,123.0,354.0,results/wt_353m_tf_lr5e-4_s2/results.json
wt_096m_hyb_tp470_s0,hybrid,wikitext,0.0001,0.0005,24,12,512,0,fp16,83.6,0,14.6,96.0,results/wt_096m_hyb_tp470_s0/results.json
wt_096m_hyb_tp470_s1,hybrid,wikitext,0.0001,0.0005,24,12,512,1,fp16,84.29,0,14.3,96.0,results/wt_096m_hyb_tp470_s1/results.json
wt_096m_hyb_tp470_s2,hybrid,wikitext,0.0001,0.0005,24,12,512,2,fp16,84.02,0,14.4,96.0,results/wt_096m_hyb_tp470_s2/results.json
wt_101m_tf_tp470_s0,transformer,wikitext,0.0005,,24,12,512,0,fp16,196.61,0,14.3,101.5,results/wt_101m_tf_tp470_s0/results.json
wt_101m_tf_tp470_s1,transformer,wikitext,0.0005,,24,12,512,1,fp16,199.65,0,14.3,101.5,results/wt_101m_tf_tp470_s1/results.json
wt_101m_tf_tp470_s2,transformer,wikitext,0.0005,,24,12,512,2,fp16,211.6,0,14.3,101.5,results/wt_101m_tf_tp470_s2/results.json
wt_096m_hyb_gate_s0,hybrid,wikitext,0.0001,0.0005,24,12,512,0,fp16,61.75,0,24.5,96.0,results/wt_096m_hyb_gate_s0/results.json
wt_516m_hyb_ng_lr5e-4_s0,hybrid,wikitext,0.0001,0.0005,24,12,1280,0,fp16,39.55,1,190.8,499.5,results/wt_516m_hyb_ng_lr5e-4_s0/results.json
wt_553m_tf_lr5e-4_s0,transformer,wikitext,0.0005,,24,,1280,0,fp16,750.35,0,202.6,536.9,results/wt_553m_tf_lr5e-4_s0/results.json
